plot;cov;tcov1;tcov2;scov;hcov;mcov;htl1;htl2;hsl;hhl1;hhl2;plsx;plsy;expo;slope;rock;stones;bare;date;soil;comment;altitude;precision.vertical;precision.horizontal;longitude;latitude;description
hk01;99;0;0;0;98;10;0;0;0;0,4;0,1;4;4;N;3;0;1;0;2011-08-16;;;2041;34,6;27,7;13.781088E;47.379935N;
hk02;99;65;0;1;80;85;25;0;2,5;0,3;0,2;16;16;NE;5;0;0;1;2011-08-16;;;1831;10,1;7,3;13.784132E;47.379328N;
hk03;98;0;0;0;90;75;0;0;0;0,6;0,25;8;8;NE;20;0;0;2;2011-08-16;;;1870;8,2;6,2;13.782740E;47.375962N;Buntschwingelrasen
hk04;85;0;0;0;80;15;0;0;0;0,4;0,1;4;4;SW;75;15;0;1;2011-08-16;;;2059;14,2;6,6;13.778656E;47.373633N;
hk05;99;0;0;0;95;30;0;0;0;0,1;0,04;4;4;NE;15;0;0;1;2011-08-16;;;2021;10,2;8,1;13.780655E;47.370654N;
hk06;98;0;0;80;75;20;0;0;2,5;0,5;0,3;8;8;S;30;0;0;2;2011-08-16;;;1956;13;6,3;13.781089E;47.368659N;
hk07;97;0;0;5;85;20;0;0;1,5;0,8;0,5;8;8;S;25;3;0;0;2011-08-16;;;1863;12,5;10;13.780880E;47.366572N;
hk08;96;55;0;10;85;25;20;0;5;0,7;0,4;16;16;W;40;2;0;2;2011-08-16;;;1878;23,9;15,2;13.777535E;47.364926N;
hk09;99;0;0;0;97;40;0;0;0;0,7;0,3;4;4;S;3;0;0;1;2011-08-16;;;1847;8,8;4,2;13.775455E;47.364247N;
hk10;75;0;0;0;65;15;0;0;0;0,6;0,3;8;8;W;35;0;25;5;2011-08-16;;scree;1961;28,6;11,1;13.779694E;47.361906N;Schuttflur
hk11;98;0;0;0;95;15;0;0;0;0,3;0,15;4;4;S;10;0;0;2;2011-08-16;;;1980;19,8;8,6;13.780629E;47.360437N;
hk12;99;0;0;0;95;35;0;0;0;0,6;0,3;8;8;NW;15;0;0;1;2011-08-16;;;1988;10,7;8,5;13.780425E;47.359236N;
hk13;99;0;0;0;99;5;0;0;0;0,1;0,05;4;4;N;35;1;0;0;2011-08-16;;;2000;22,6;14,9;13.780221E;47.357989N;
hk14;92;0;0;0;80;45;0;0;0;0,4;0,15;4;4;E;35;7;0;1;2011-08-16;;;2140;16,4;12;13.780504E;47.354401N;
hk15;84;0;0;0;80;30;0;0;0;0,2;0,05;4;4;NE;10;0;1;0;2011-08-16;;;2141;33,2;13,1;13.783190E;47.354717N;
hk16;96;0;0;0;90;15;0;0;0;0,25;0,15;4;4;W;40;1;0;3;2011-08-16;;;2167;13,5;9,3;13.785287E;47.359562N;Buntschwingelrasen
hk17;75;0;0;0;70;20;0;0;0;0,3;0,2;4;4;W;45;25;0;1;2011-08-16;;;2182;11,6;7,2;13.785329E;47.360317N;
hk18;96;0;0;0;0,3;0,1;0;0;0;0,3;0,1;4;4;W;35;1;0;3;2011-08-16;;;2149;14,8;8,9;13.784708E;47.360586N;
hk19;98;0;0;0;75;70;0;0;0;0,2;0,05;3;5;NW;10;0;0;2;2011-08-16;Ranker;;2109;10,3;6,4;13.783435E;47.361540N;Alpenazaleen-Windheide
