plot;variable;value
Niklfeld:1979:IX:9;cov;10
Niklfeld:1979:IX:9;tcov;0
Niklfeld:1979:IX:9;scov;0
Niklfeld:1979:IX:9;hcov;10
Niklfeld:1979:IX:9;mcov;0
Niklfeld:1979:IX:9;htl;0
Niklfeld:1979:IX:9;hsl;0
Niklfeld:1979:IX:9;hhl1;0,5
Niklfeld:1979:IX:9;hhl2;0
Niklfeld:1979:IX:9;expo;S
Niklfeld:1979:IX:9;slope;10
Niklfeld:1979:IX:9;plsx;1
Niklfeld:1979:IX:9;plsy;1,5
Niklfeld:1979:IX:9;date;01.01.79
Niklfeld:1979:IX:9;ibex;no
Niklfeld:1979:IX:9;rupi;no
Niklfeld:1979:IX:9;soil;shallow
Niklfeld:1979:IX:9;rock.type;precipice
Niklfeld:1979:IX:9;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:9;location.verbose;Grillenberger Tal bei Berndorf, Tabelle 9, Niklfeld 1979, Aufnahme 9
Niklfeld:1979:IX:9;longitude;16.035550E
Niklfeld:1979:IX:9;latitude;47.916490N
Niklfeld:1979:IX:10;cov;10
Niklfeld:1979:IX:10;tcov;0
Niklfeld:1979:IX:10;scov;0
Niklfeld:1979:IX:10;hcov;10
Niklfeld:1979:IX:10;mcov;0
Niklfeld:1979:IX:10;htl;0
Niklfeld:1979:IX:10;hsl;0
Niklfeld:1979:IX:10;hhl1;0,5
Niklfeld:1979:IX:10;hhl2;0
Niklfeld:1979:IX:10;expo;SE
Niklfeld:1979:IX:10;slope;35
Niklfeld:1979:IX:10;plsx;1
Niklfeld:1979:IX:10;plsy;1,5
Niklfeld:1979:IX:10;date;01.01.79
Niklfeld:1979:IX:10;ibex;no
Niklfeld:1979:IX:10;rupi;no
Niklfeld:1979:IX:10;soil;shallow
Niklfeld:1979:IX:10;rock.type;precipice
Niklfeld:1979:IX:10;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:10;location.verbose;Grillenberger Tal bei Berndorf, Tabelle 9, Niklfeld 1979, Aufnahme 10
Niklfeld:1979:IX:10;longitude;16.035550E
Niklfeld:1979:IX:10;latitude;47.916490N
Niklfeld:1964;cov;70
Niklfeld:1964;tcov;0
Niklfeld:1964;scov;0
Niklfeld:1964;hcov;70
Niklfeld:1964;mcov;0
Niklfeld:1964;htl;0
Niklfeld:1964;hsl;0
Niklfeld:1964;hhl1;0,4
Niklfeld:1964;hhl2;0,7
Niklfeld:1964;expo;SE
Niklfeld:1964;slope;45
Niklfeld:1964;plsx;1
Niklfeld:1964;plsy;50
Niklfeld:1964;date;23.09.62
Niklfeld:1964;ibex;no
Niklfeld:1964;rupi;no
Niklfeld:1964;soil;shallow
Niklfeld:1964;rock.type;precipice
Niklfeld:1964;rock.soil.verbose;unbekannt
Niklfeld:1964;location.verbose;Hohe Wand, Große Kanzel, am Wagnersteig, Arten in Klammer exkludiert (Felspflanzen?), Niklfeld 1964
Niklfeld:1964;longitude;16.01297E
Niklfeld:1964;latitude;47.81091N
Niklfeld:1979:IX:29;cov;40
Niklfeld:1979:IX:29;tcov;0
Niklfeld:1979:IX:29;scov;0
Niklfeld:1979:IX:29;hcov;40
Niklfeld:1979:IX:29;mcov;0
Niklfeld:1979:IX:29;htl;0
Niklfeld:1979:IX:29;hsl;0
Niklfeld:1979:IX:29;hhl1;0
Niklfeld:1979:IX:29;hhl2;0
Niklfeld:1979:IX:29;expo;SW
Niklfeld:1979:IX:29;slope;40
Niklfeld:1979:IX:29;plsx;1
Niklfeld:1979:IX:29;plsy;60
Niklfeld:1979:IX:29;date;01.01.79
Niklfeld:1979:IX:29;ibex;no
Niklfeld:1979:IX:29;rupi;no
Niklfeld:1979:IX:29;soil;shallow
Niklfeld:1979:IX:29;rock.type;precipice
Niklfeld:1979:IX:29;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:29;location.verbose;Steiermark, Gschwendtberg bei Frohnleiten, Tabelle 9, Niklfeld 1979, Aufnahme 29
Niklfeld:1979:IX:29;longitude;15.340013E
Niklfeld:1979:IX:29;latitude;47.281958N
Niklfeld:1979:IX:30;cov;40
Niklfeld:1979:IX:30;tcov;0
Niklfeld:1979:IX:30;scov;0
Niklfeld:1979:IX:30;hcov;40
Niklfeld:1979:IX:30;mcov;0
Niklfeld:1979:IX:30;htl;0
Niklfeld:1979:IX:30;hsl;0
Niklfeld:1979:IX:30;hhl1;0
Niklfeld:1979:IX:30;hhl2;0
Niklfeld:1979:IX:30;expo;SW
Niklfeld:1979:IX:30;slope;40
Niklfeld:1979:IX:30;plsx;1
Niklfeld:1979:IX:30;plsy;200
Niklfeld:1979:IX:30;date;01.01.79
Niklfeld:1979:IX:30;ibex;no
Niklfeld:1979:IX:30;rupi;no
Niklfeld:1979:IX:30;soil;shallow
Niklfeld:1979:IX:30;rock.type;precipice
Niklfeld:1979:IX:30;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:30;location.verbose;Steiermark, Peggauer Wand, Tabelle 9, Niklfeld 1979, Aufnahme 30
Niklfeld:1979:IX:30;longitude;15.348884E
Niklfeld:1979:IX:30;latitude;47.207432N
Niklfeld:1979:IX:31;cov;25
Niklfeld:1979:IX:31;tcov;0
Niklfeld:1979:IX:31;scov;0
Niklfeld:1979:IX:31;hcov;25
Niklfeld:1979:IX:31;mcov;0
Niklfeld:1979:IX:31;htl;0
Niklfeld:1979:IX:31;hsl;0
Niklfeld:1979:IX:31;hhl1;0
Niklfeld:1979:IX:31;hhl2;0
Niklfeld:1979:IX:31;expo;SE
Niklfeld:1979:IX:31;slope;25
Niklfeld:1979:IX:31;plsx;1
Niklfeld:1979:IX:31;plsy;100
Niklfeld:1979:IX:31;date;01.01.79
Niklfeld:1979:IX:31;ibex;no
Niklfeld:1979:IX:31;rupi;no
Niklfeld:1979:IX:31;soil;shallow
Niklfeld:1979:IX:31;rock.type;precipice
Niklfeld:1979:IX:31;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:31;location.verbose;Steiermark, Peggauer Wand, Tabelle 9, Niklfeld 1979, Aufnahme 31
Niklfeld:1979:IX:31;longitude;15.348884E
Niklfeld:1979:IX:31;latitude;47.207432N
Niklfeld:1979:IX:32;cov;20
Niklfeld:1979:IX:32;tcov;0
Niklfeld:1979:IX:32;scov;0
Niklfeld:1979:IX:32;hcov;20
Niklfeld:1979:IX:32;mcov;0
Niklfeld:1979:IX:32;htl;0
Niklfeld:1979:IX:32;hsl;0
Niklfeld:1979:IX:32;hhl1;0
Niklfeld:1979:IX:32;hhl2;0
Niklfeld:1979:IX:32;expo;S
Niklfeld:1979:IX:32;slope;20
Niklfeld:1979:IX:32;plsx;1
Niklfeld:1979:IX:32;plsy;80
Niklfeld:1979:IX:32;date;01.01.79
Niklfeld:1979:IX:32;ibex;no
Niklfeld:1979:IX:32;rupi;no
Niklfeld:1979:IX:32;soil;shallow
Niklfeld:1979:IX:32;rock.type;precipice
Niklfeld:1979:IX:32;rock.soil.verbose;unbekannt
Niklfeld:1979:IX:32;location.verbose;Steiermark, Peggauer Wand, Tabelle 9, Niklfeld 1979, Aufnahme 32
Niklfeld:1979:IX:32;longitude;15.348884E
Niklfeld:1979:IX:32;latitude;47.207432N
Niklfeld:1979:IX:33;cov;25
Niklfeld:1979:IX:33;tcov;0
Niklfeld:1979:IX:33;scov;0
Niklfeld:1979:IX:33;hcov;25
Niklfeld:1979:IX:33;mcov;0
Niklfeld:1979:IX:33;htl;0
Niklfeld:1979:IX:33;hsl;0
Niklfeld:1979:IX:33;hhl1;0
Niklfeld:1979:IX:33;hhl2;0
Niklfeld:1979:IX:33;expo;E
Niklfeld:1979:IX:33;slope;25
Niklfeld:1979:IX:33;plsx;1
Niklfeld:1979:IX:33;plsy;70
