plot;abbr;layer;cover;voucher;comment;history
nb01;agro stol;hl;1;;;
nb01;card amar aust;hl;r;;;
nb01;card rivu;hl;+;;;
nb01;care nigr;hl;2a;;;
nb01;cera font;hl;r;;;
nb01;desc cesp;hl;+;;;
nb01;epil alsi;hl;+;;;
nb01;junc cast;hl;2a;;;
nb01;junc trig trig;hl;+;;;
nb01;saxi stel prol;hl;+;;;
nb01;saxi stel robu;hl;2a;;;
nb01;sedu vill;hl;r;;;
nb01;stel alsi;hl;r;;;
nb01;viol palu;hl;r;;;
nb01;bryu spec ies;ml;1;;;
nb01;palu comm slat;ml;2b;;;
nb01;phil seri;ml;1;;;
nb01;unde bryo;ml;+;;;
nb02;arme alpi;hl;r;;;
nb02;care firm;hl;r;;;
nb02;erio angu;hl;2a;;;
nb02;junc trig trig;hl;1;;;
nb02;kobr simp;hl;2a;;;
nb02;saxi aizo;hl;r;;;
nb02;palu comm slat;ml;1;;;
nb03;agro stol;hl;+;;;
nb03;arab soye subc;hl;r;;;
nb03;calt palu;hl;+;;;
nb03;card rivu;hl;+;;;
nb03;care echi;hl;r;;;
nb03;care frig;hl;+;;;
nb03;care nigr;hl;2b;;;
nb03;desc cesp;hl;1;;;
nb03;erio angu;hl;1;;;
nb03;junc cast;hl;2a;;;
nb03;junc trig trig;hl;+;;;
nb03;saxi aizo;hl;+;;;
nb03;saxi stel prol;hl;1;;;
nb03;tofi caly;hl;r;;;
nb03;viol palu;hl;r;;;
nb03;will stip stip;hl;+;;;
nb03;palu comm slat;ml;2a;;;
nb03;phil seri;ml;+;;;
nb04;agro stol;hl;1;;;
nb04;alch sect cori;hl;r;;;
nb04;calt palu;hl;+;;;
nb04;card amar aust;hl;+;;;
nb04;card rivu;hl;+;;;
nb04;care echi;hl;2a;;;
nb04;care nigr;hl;3;;;
nb04;desc cesp;hl;1;;;
nb04;epil nuta;hl;+;2014-0000;;
nb04;erio angu;hl;1;;;
nb04;homo alpi;hl;+;;;
nb04;junc alpi alpi;hl;1;2014-0000;;
nb04;junc cast;hl;r;;;
nb04;junc trig trig;hl;r;;;
nb04;mont font font;hl;2a;;;
nb04;nard stri;hl;+;;;
nb04;pote aure;hl;+;;;
nb04;saxi stel prol;hl;+;;;
nb04;bryu schl slat;ml;1;;;
nb04;marc poly slat;ml;r;;;
nb04;phil seri;ml;3;;;
nb04;phil spec ies;ml;1;;;
nb04;scap spec ies;ml;+;;;
nb04;spha comp;ml;+;;;
nb05;agro stol;hl;+;;;
nb05;bart alpi;hl;r;;;
nb05;briz medi;hl;+;;;
nb05;calt palu;hl;1;;;
nb05;card rivu;hl;+;;;
nb05;care dioi;hl;r;;;
nb05;care echi;hl;2b;;;
nb05;care nigr;hl;2b;;;
nb05;care pani;hl;+;;;
nb05;desc cesp;hl;2a;;;
nb05;epil alsi;hl;+;;;
nb05;erio angu;hl;+;;;
nb05;fest nigr cens;hl;+;;;
nb05;gent bava suba;hl;+;;;
nb05;junc alpi alpi;hl;+;;;
nb05;junc cast;hl;r;;;
nb05;junc trig trig;hl;r;;;
nb05;luzu sude;hl;+;;;
nb05;mont font font;hl;+;;;
nb05;nard stri;hl;1;;;
nb05;pote aure;hl;+;;;
nb05;saxi stel prol;hl;1;;;
nb05;sela sela;hl;+;;;
nb05;viol palu;hl;+;;;
nb05;will stip stip;hl;1;;;
nb05;call cusp;ml;+;;;
nb05;camp stel;ml;+;;;
nb05;dich palu;ml;1;;;
nb05;phil seri;ml;3;;;
nb05;phil spec ies;ml;+;;;
nb05;warn exan;ml;1;;;
nb06;alch sect cori;hl;+;;;
nb06;calt palu;hl;1;;;
nb06;camp sche;hl;+;;;
nb06;card amar aust;hl;+;;;
nb06;card rivu;hl;+;;;
nb06;care echi;hl;+;;;
nb06;care frig;hl;1;;;
nb06;care nigr;hl;2b;;;
nb06;cera font;hl;+;;;
nb06;desc cesp;hl;1;;;
nb06;epil alsi;hl;1;;;
nb06;erio angu;hl;+;;;
nb06;homo alpi;hl;+;;;
nb06;junc cast;hl;+;;;
nb06;junc fili;hl;+;;;
nb06;junc trig trig;hl;+;;;
nb06;luzu sude;hl;1;;;
nb06;mute adon;hl;+;;;
nb06;pers vivi;hl;+;;;
nb06;ping vulg;hl;+;;;
nb06;poa alpi;hl;+;;;
nb06;saxi stel prol;hl;+;;;
nb06;saxi stel robu;hl;1;;;
nb06;sold pusi alpi;hl;1;;;
nb06;viol palu;hl;+;;;
nb06;will stip stip;hl;2a;;;
nb06;mont font font;hl;+;;;
nb06;call cusp;ml;+;;;
nb06;dich palu;ml;1;;;
nb06;palu comm slat;ml;3;;;
nb06;phil seri;ml;1;;;
nb07;agro stol;hl;+;;;
nb07;alch sect cori;hl;r;;;
nb07;calt palu;hl;+;;;
nb07;camp sche;hl;r;;;
nb07;card amar aust;hl;+;;;
nb07;card rivu;hl;+;;;
nb07;care echi;hl;r;;;
nb07;care nigr;hl;1;;;
nb07;cera font;hl;r;;;
nb07;desc cesp;hl;1;;;
nb07;epil alsi;hl;1;;;
nb07;epil nuta;hl;+;;;
nb07;erio angu;hl;+;;;
nb07;junc trig trig;hl;+;;;
nb07;junc cast;hl;+;;;
nb07;mute adon;hl;+;;;
nb07;nard stri;hl;1;;;
nb07;ping vulg;hl;+;;;
nb07;saxi stel prol;hl;2b;;;
nb07;saxi stel robu;hl;+;;;
nb07;sold pusi alpi;hl;+;;;
nb07;stel alsi;hl;+;;;
nb07;tofi pusi;hl;r;;;
nb07;viol palu;hl;+;;;
nb07;will stip stip;hl;+;;;
nb07;bryu pseu slat;ml;+;;;
nb07;bryu schl slat;ml;1;;;
nb07;palu comm slat;ml;3;;;
nb07;phil seri;ml;2a;;;
nb08;agro rupe rupe;hl;+;;;
nb08;agro stol;hl;+;;;
nb08;calt palu;hl;+;;;
nb08;care flav alpi;hl;+;;;
nb08;care nigr;hl;1;;;
nb08;desc cesp;hl;1;;;
nb08;erio angu;hl;1;;;
nb08;junc cast;hl;2a;;;
nb08;junc trig trig;hl;+;;;
nb08;nard stri;hl;+;;;
nb08;ping vulg;hl;+;;cf.;
nb08;poa alpi;hl;+;;;
nb08;prim mini;hl;+;;;
nb08;sedu vill;hl;+;;;
nb08;vale celt nori;hl;+;;;
nb08;scor coss;ml;1;;;
nb08;camp stel;ml;+;;;
nb09;agro rupe rupe;hl;1;;;
nb09;care oede;hl;+;;;
nb09;desc cesp;hl;1;;;
nb09;erio angu;hl;+;;;
nb09;erio vagi;hl;+;;;
nb09;junc cast;hl;2a;;;
nb09;junc trig trig;hl;2a;;;
nb09;ping vulg;hl;+;;;
nb09;saxi stel robu;hl;1;;;
nb09;warn exan;ml;1;;;
nb09;dicr vari;ml;+;;;
nb10;bell mich;hl;+;;;
nb10;camp sche;hl;+;;;
nb10;card rivu;hl;+;;;
